,Company,Year,Quarter,OCI L4,OCI L5,Value
29,Total Canadian P&C,2018,Q3,DBP Remeasurements,Remeasurements of Defined Benefit Plans,137348
30,Total Canadian P&C,2018,Q3,Other,Other,59352
0,Total Canadian P&C,2018,Q4,0,Net Income,686491
1,Total Canadian P&C,2018,Q4,FVOCI, Loans,-6
2,Total Canadian P&C,2018,Q4,FVOCI, Bonds and Debentures,-76703
3,Total Canadian P&C,2018,Q4,FVOCI, Equities (IAS 39),441270
4,Total Canadian P&C,2018,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,26857
5,Total Canadian P&C,2018,Q4,Overlay Approach,Unrealized Gains and Losses,75007
6,Total Canadian P&C,2018,Q4,Overlay Approach,Reclassification of (Gains) Losses from Net Income,8693
7,Total Canadian P&C,2018,Q4,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,659
8,Total Canadian P&C,2018,Q4,FVOCI,Reclassification of (Gains) Losses to Net Income,107
9,Total Canadian P&C,2018,Q4,FX Translation,Change in Unrealized Gains and Losses,53640
10,Total Canadian P&C,2018,Q4,FX Translation,Impact of Hedging,142564
11,Total Canadian P&C,2018,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",18018
12,Total Canadian P&C,2018,Q4,Other,Other,140790
13,Total Canadian P&C,2018,Q4,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,498988
14,Total Canadian P&C,2018,Q4,Revaluation Surplus, Equities (IFRS 9),10272
15,Total Canadian P&C,2018,Q4,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Total Canadian P&C,2018,Q4,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Total Canadian P&C,2018,Q4,Other,Remeasurements of Defined Benefit Plans,-1081
18,Total Canadian P&C,2018,Q4,N/A,Other,10072
19,Total Canadian P&C,2018,Q4,N/A,Equity Holders,-158990
20,Total Canadian P&C,2018,Q4,FVOCI, Loans,5
21,Total Canadian P&C,2018,Q4,FVOCI, Bonds and Debentures,-166618
22,Total Canadian P&C,2018,Q4,FVOCI, Equities (IAS 39),-225333
23,Total Canadian P&C,2018,Q4,FX Translation,Foreign Currency (Net of Hedging Activities),-88924
24,Total Canadian P&C,2018,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",5225
25,Total Canadian P&C,2018,Q4,Other,Other,140309
26,Total Canadian P&C,2018,Q4,FVOCI, Equities (IFRS 9),-15041
27,Total Canadian P&C,2018,Q4,Revaluation Surplus,Revaluation Surplus,3035
28,Total Canadian P&C,2018,Q4,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Total Canadian P&C,2018,Q4,DBP Remeasurements,Remeasurements of Defined Benefit Plans,26968
30,Total Canadian P&C,2018,Q4,Other,Other,-11163
0,AIG Insurance Company of Canada,2020,Q1,0,Net Income,7801
1,AIG Insurance Company of Canada,2020,Q1,FVOCI, Loans,0
2,AIG Insurance Company of Canada,2020,Q1,FVOCI, Bonds and Debentures,29730
3,AIG Insurance Company of Canada,2020,Q1,FVOCI, Equities (IAS 39),0
4,AIG Insurance Company of Canada,2020,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,513
5,AIG Insurance Company of Canada,2020,Q1,Overlay Approach,Unrealized Gains and Losses,0
6,AIG Insurance Company of Canada,2020,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,AIG Insurance Company of Canada,2020,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,AIG Insurance Company of Canada,2020,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,AIG Insurance Company of Canada,2020,Q1,FX Translation,Change in Unrealized Gains and Losses,0
10,AIG Insurance Company of Canada,2020,Q1,FX Translation,Impact of Hedging,0
11,AIG Insurance Company of Canada,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,AIG Insurance Company of Canada,2020,Q1,Other,Other,0
13,AIG Insurance Company of Canada,2020,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,29217
14,AIG Insurance Company of Canada,2020,Q1,Revaluation Surplus, Equities (IFRS 9),0
15,AIG Insurance Company of Canada,2020,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,AIG Insurance Company of Canada,2020,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,AIG Insurance Company of Canada,2020,Q1,Other,Remeasurements of Defined Benefit Plans,0
18,AIG Insurance Company of Canada,2020,Q1,N/A,Other,9
19,AIG Insurance Company of Canada,2020,Q1,N/A,Equity Holders,21425
20,AIG Insurance Company of Canada,2020,Q1,FVOCI, Loans,0
21,AIG Insurance Company of Canada,2020,Q1,FVOCI, Bonds and Debentures,6816
22,AIG Insurance Company of Canada,2020,Q1,FVOCI, Equities (IAS 39),0
23,AIG Insurance Company of Canada,2020,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,AIG Insurance Company of Canada,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,AIG Insurance Company of Canada,2020,Q1,Other,Other,1930
26,AIG Insurance Company of Canada,2020,Q1,FVOCI, Equities (IFRS 9),0
27,AIG Insurance Company of Canada,2020,Q1,Revaluation Surplus,Revaluation Surplus,0
28,AIG Insurance Company of Canada,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,AIG Insurance Company of Canada,2020,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,AIG Insurance Company of Canada,2020,Q1,Other,Other,0
0,AIG Insurance Company of Canada,2020,Q2,0,Net Income,9042
1,AIG Insurance Company of Canada,2020,Q2,FVOCI, Loans,0
2,AIG Insurance Company of Canada,2020,Q2,FVOCI, Bonds and Debentures,-12603
3,AIG Insurance Company of Canada,2020,Q2,FVOCI, Equities (IAS 39),0
4,AIG Insurance Company of Canada,2020,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,-86
5,AIG Insurance Company of Canada,2020,Q2,Overlay Approach,Unrealized Gains and Losses,0
6,AIG Insurance Company of Canada,2020,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,AIG Insurance Company of Canada,2020,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,AIG Insurance Company of Canada,2020,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,AIG Insurance Company of Canada,2020,Q2,FX Translation,Change in Unrealized Gains and Losses,0
10,AIG Insurance Company of Canada,2020,Q2,FX Translation,Impact of Hedging,0
11,AIG Insurance Company of Canada,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,AIG Insurance Company of Canada,2020,Q2,Other,Other,0
13,AIG Insurance Company of Canada,2020,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,-11663
14,AIG Insurance Company of Canada,2020,Q2,Revaluation Surplus, Equities (IFRS 9),0
15,AIG Insurance Company of Canada,2020,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,AIG Insurance Company of Canada,2020,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,AIG Insurance Company of Canada,2020,Q2,Other,Remeasurements of Defined Benefit Plans,0
18,AIG Insurance Company of Canada,2020,Q2,N/A,Other,0
19,AIG Insurance Company of Canada,2020,Q2,N/A,Equity Holders,12963
20,AIG Insurance Company of Canada,2020,Q2,FVOCI, Loans,0
21,AIG Insurance Company of Canada,2020,Q2,FVOCI, Bonds and Debentures,46771
22,AIG Insurance Company of Canada,2020,Q2,FVOCI, Equities (IAS 39),0
23,AIG Insurance Company of Canada,2020,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,AIG Insurance Company of Canada,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,AIG Insurance Company of Canada,2020,Q2,Other,Other,0
26,AIG Insurance Company of Canada,2020,Q2,FVOCI, Equities (IFRS 9),0
27,AIG Insurance Company of Canada,2020,Q2,Revaluation Surplus,Revaluation Surplus,0
28,AIG Insurance Company of Canada,2020,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,AIG Insurance Company of Canada,2020,Q2,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,AIG Insurance Company of Canada,2020,Q2,Other,Other,0
0,AIG Insurance Company of Canada,2020,Q3,0,Net Income,5734
1,AIG Insurance Company of Canada,2020,Q3,FVOCI, Loans,0
2,AIG Insurance Company of Canada,2020,Q3,FVOCI, Bonds and Debentures,37699
3,AIG Insurance Company of Canada,2020,Q3,FVOCI, Equities (IAS 39),0
4,AIG Insurance Company of Canada,2020,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,579
5,AIG Insurance Company of Canada,2020,Q3,Overlay Approach,Unrealized Gains and Losses,0
6,AIG Insurance Company of Canada,2020,Q3,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,AIG Insurance Company of Canada,2020,Q3,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,AIG Insurance Company of Canada,2020,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,AIG Insurance Company of Canada,2020,Q3,FX Translation,Change in Unrealized Gains and Losses,0
10,AIG Insurance Company of Canada,2020,Q3,FX Translation,Impact of Hedging,0
11,AIG Insurance Company of Canada,2020,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,AIG Insurance Company of Canada,2020,Q3,Other,Other,0
13,AIG Insurance Company of Canada,2020,Q3,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,37252
14,AIG Insurance Company of Canada,2020,Q3,Revaluation Surplus, Equities (IFRS 9),0
15,AIG Insurance Company of Canada,2020,Q3,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,AIG Insurance Company of Canada,2020,Q3,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,AIG Insurance Company of Canada,2020,Q3,Other,Remeasurements of Defined Benefit Plans,0
18,AIG Insurance Company of Canada,2020,Q3,N/A,Other,9
19,AIG Insurance Company of Canada,2020,Q3,N/A,Equity Holders,27393
20,AIG Insurance Company of Canada,2020,Q3,FVOCI, Loans,0
21,AIG Insurance Company of Canada,2020,Q3,FVOCI, Bonds and Debentures,14851
22,AIG Insurance Company of Canada,2020,Q3,FVOCI, Equities (IAS 39),0
23,AIG Insurance Company of Canada,2020,Q3,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,AIG Insurance Company of Canada,2020,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,AIG Insurance Company of Canada,2020,Q3,Other,Other,1930
26,AIG Insurance Company of Canada,2020,Q3,FVOCI, Equities (IFRS 9),0
27,AIG Insurance Company of Canada,2020,Q3,Revaluation Surplus,Revaluation Surplus,0
28,AIG Insurance Company of Canada,2020,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,AIG Insurance Company of Canada,2020,Q3,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,AIG Insurance Company of Canada,2020,Q3,Other,Other,0
0,AIG Insurance Company of Canada,2019,Q1,0,Net Income,8945
1,AIG Insurance Company of Canada,2019,Q1,FVOCI, Loans,0
2,AIG Insurance Company of Canada,2019,Q1,FVOCI, Bonds and Debentures,23424
3,AIG Insurance Company of Canada,2019,Q1,FVOCI, Equities (IAS 39),0
4,AIG Insurance Company of Canada,2019,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,1061
5,AIG Insurance Company of Canada,2019,Q1,Overlay Approach,Unrealized Gains and Losses,0
6,AIG Insurance Company of Canada,2019,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,AIG Insurance Company of Canada,2019,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,AIG Insurance Company of Canada,2019,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,AIG Insurance Company of Canada,2019,Q1,FX Translation,Change in Unrealized Gains and Losses,0
10,AIG Insurance Company of Canada,2019,Q1,FX Translation,Impact of Hedging,0
11,AIG Insurance Company of Canada,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,AIG Insurance Company of Canada,2019,Q1,Other,Other,0
13,AIG Insurance Company of Canada,2019,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,24485
14,AIG Insurance Company of Canada,2019,Q1,Revaluation Surplus, Equities (IFRS 9),0
15,AIG Insurance Company of Canada,2019,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,AIG Insurance Company of Canada,2019,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,AIG Insurance Company of Canada,2019,Q1,Other,Remeasurements of Defined Benefit Plans,0
18,AIG Insurance Company of Canada,2019,Q1,N/A,Other,1
19,AIG Insurance Company of Canada,2019,Q1,N/A,Equity Holders,33429
20,AIG Insurance Company of Canada,2019,Q1,FVOCI, Loans,0
21,AIG Insurance Company of Canada,2019,Q1,FVOCI, Bonds and Debentures,28989
22,AIG Insurance Company of Canada,2019,Q1,FVOCI, Equities (IAS 39),0
23,AIG Insurance Company of Canada,2019,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,AIG Insurance Company of Canada,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,AIG Insurance Company of Canada,2019,Q1,Other,Other,1930
26,AIG Insurance Company of Canada,2019,Q1,FVOCI, Equities (IFRS 9),0
27,AIG Insurance Company of Canada,2019,Q1,Revaluation Surplus,Revaluation Surplus,0
28,AIG Insurance Company of Canada,2019,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,AIG Insurance Company of Canada,2019,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,AIG Insurance Company of Canada,2019,Q1,Other,Other,0
0,AIG Insurance Company of Canada,2019,Q2,0,Net Income,17287
1,AIG Insurance Company of Canada,2019,Q2,FVOCI, Loans,0
2,AIG Insurance Company of Canada,2019,Q2,FVOCI, Bonds and Debentures,12508
3,AIG Insurance Company of Canada,2019,Q2,FVOCI, Equities (IAS 39),0
4,AIG Insurance Company of Canada,2019,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,125
5,AIG Insurance Company of Canada,2019,Q2,Overlay Approach,Unrealized Gains and Losses,0
6,AIG Insurance Company of Canada,2019,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,AIG Insurance Company of Canada,2019,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,AIG Insurance Company of Canada,2019,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,AIG Insurance Company of Canada,2019,Q2,FX Translation,Change in Unrealized Gains and Losses,0
10,AIG Insurance Company of Canada,2019,Q2,FX Translation,Impact of Hedging,0
11,AIG Insurance Company of Canada,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,AIG Insurance Company of Canada,2019,Q2,Other,Other,0
13,AIG Insurance Company of Canada,2019,Q2,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,12633
14,AIG Insurance Company of Canada,2019,Q2,Revaluation Surplus, Equities (IFRS 9),0
15,AIG Insurance Company of Canada,2019,Q2,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,AIG Insurance Company of Canada,2019,Q2,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,AIG Insurance Company of Canada,2019,Q2,Other,Remeasurements of Defined Benefit Plans,0
18,AIG Insurance Company of Canada,2019,Q2,N/A,Other,0
19,AIG Insurance Company of Canada,2019,Q2,N/A,Equity Holders,29920
20,AIG Insurance Company of Canada,2019,Q2,FVOCI, Loans,0
21,AIG Insurance Company of Canada,2019,Q2,FVOCI, Bonds and Debentures,12633
22,AIG Insurance Company of Canada,2019,Q2,FVOCI, Equities (IAS 39),0
23,AIG Insurance Company of Canada,2019,Q2,FX Translation,Foreign Currency (Net of Hedging Activities),0
24,AIG Insurance Company of Canada,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
25,AIG Insurance Company of Canada,2019,Q2,Other,Other,0
26,AIG Insurance Company of Canada,2019,Q2,FVOCI, Equities (IFRS 9),0
27,AIG Insurance Company of Canada,2019,Q2,Revaluation Surplus,Revaluation Surplus,0
28,AIG Insurance Company of Canada,2019,Q2,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,AIG Insurance Company of Canada,2019,Q2,DBP Remeasurements,Remeasurements of Defined Benefit Plans,0
30,AIG Insurance Company of Canada,2019,Q2,Other,Other,0
0,AIG Insurance Company of Canada,2019,Q3,0,Net Income,27055
1,AIG Insurance Company of Canada,2019,Q3,FVOCI, Loans,0
2,AIG Insurance Company of Canada,2019,Q3,FVOCI, Bonds and Debentures,22830
3,AIG Insurance Company of Canada,2019,Q3,FVOCI, Equities (IAS 39),0
4,AIG Insurance Company of Canada,2019,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,1637
5,AIG Insurance Company of Canada,2019,Q3,Overlay Approach,Unrealized Gains and Losses,0
6,AIG Insurance Company of Canada,2019,Q3,Overlay Approach,Reclassification of (Gains) Losses from Net Income,0
7,AIG Insurance Company of Canada,2019,Q3,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,AIG Insurance Company of Canada,2019,Q3,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,AIG Insurance Company of Canada,2019,Q3,FX Translation,Change in Unrealized Gains and Losses,0
10,AIG Insurance Company of Canada,2019,Q3,FX Translation,Impact of Hedging,0
11,AIG Insurance Company of Canada,2019,Q3,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",0
12,AIG Insurance Company of Canada,2019,Q3,Other,Other,0
13,AIG Insurance Company of Canada,2019,Q3,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,24467
14,AIG Insurance Company of Canada,2019,Q3,Revaluation Surplus, Equities (IFRS 9),0
15,AIG Insurance Company of Canada,2019,Q3,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
