,Company,Year,Quarter,Capital L1,Capital L2,Capital L3,Value
4,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"52,349"
5,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"179,593"
6,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Insurance Risk,Catastrophes,0
7,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"16,502"
8,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Market Risk,Interest rate risk,"12,025"
9,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Market Risk,Equity risk,0
11,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Market Risk,Real estate risk,0
12,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Market Risk,Other market risk exposures,0
13,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"55,162"
14,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"11,929"
15,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"22,563"
16,AIG Insurance Company of Canada,2020,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"84,722"
17,AIG Insurance Company of Canada,2020,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"38,154"
18,AIG Insurance Company of Canada,2020,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"264,461"
19,AIG Insurance Company of Canada,2020,Q1,Capital Available,Total Capital Available,Other,0
0,AIG Insurance Company of Canada,2019,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"677,170"
1,AIG Insurance Company of Canada,2019,Q4,Capital Available,Total Capital Available,Other,0
2,AIG Insurance Company of Canada,2019,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,AIG Insurance Company of Canada,2019,Q4,Capital Available,Total Capital Available,Other,0
4,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,"57,761"
5,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,"172,038"
6,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Insurance Risk,Catastrophes,0
7,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"16,676"
8,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Market Risk,Interest rate risk,"16,575"
9,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Market Risk,Equity risk,0
11,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Market Risk,Real estate risk,0
12,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Market Risk,Other market risk exposures,0
13,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"54,551"
14,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"11,526"
15,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"22,070"
16,AIG Insurance Company of Canada,2019,Q4,Capital Margin Required,Operational Risk,Operational risk margin,"84,933"
17,AIG Insurance Company of Canada,2019,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,"38,902"
18,AIG Insurance Company of Canada,2019,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"264,819"
19,AIG Insurance Company of Canada,2019,Q4,Capital Available,Total Capital Available,Other,0
0,AIG Insurance Company of Canada,2019,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"740,099"
1,AIG Insurance Company of Canada,2019,Q3,Capital Available,Total Capital Available,Other,0
2,AIG Insurance Company of Canada,2019,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,AIG Insurance Company of Canada,2019,Q3,Capital Available,Total Capital Available,Other,0
4,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"55,218"
5,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"172,515"
6,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"15,161"
8,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Market Risk,Interest rate risk,"21,568"
9,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Market Risk,Equity risk,0
11,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Market Risk,Real estate risk,0
12,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Market Risk,Other market risk exposures,0
13,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"56,648"
14,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"11,612"
15,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"21,346"
16,AIG Insurance Company of Canada,2019,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"85,204"
17,AIG Insurance Company of Canada,2019,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"40,443"
18,AIG Insurance Company of Canada,2019,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"265,886"
19,AIG Insurance Company of Canada,2019,Q3,Capital Available,Total Capital Available,Other,0
0,AIG Insurance Company of Canada,2019,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"750,550"
1,AIG Insurance Company of Canada,2019,Q2,Capital Available,Total Capital Available,Other,0
2,AIG Insurance Company of Canada,2019,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,AIG Insurance Company of Canada,2019,Q2,Capital Available,Total Capital Available,Other,0
4,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"54,753"
5,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"178,236"
6,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"18,653"
8,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Market Risk,Interest rate risk,"24,151"
9,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Market Risk,Equity risk,0
11,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Market Risk,Real estate risk,0
12,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Market Risk,Other market risk exposures,0
13,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"61,012"
14,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"11,032"
15,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"19,076"
16,AIG Insurance Company of Canada,2019,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"84,949"
17,AIG Insurance Company of Canada,2019,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"41,924"
18,AIG Insurance Company of Canada,2019,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"273,292"
19,AIG Insurance Company of Canada,2019,Q2,Capital Available,Total Capital Available,Other,0
0,AIG Insurance Company of Canada,2019,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"766,286"
1,AIG Insurance Company of Canada,2019,Q1,Capital Available,Total Capital Available,Other,0
2,AIG Insurance Company of Canada,2019,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,AIG Insurance Company of Canada,2019,Q1,Capital Available,Total Capital Available,Other,0
4,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"48,884"
5,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"180,168"
6,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Insurance Risk,Catastrophes,0
7,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"18,044"
8,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Market Risk,Interest rate risk,"29,858"
9,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Market Risk,Equity risk,0
11,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Market Risk,Real estate risk,0
12,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Market Risk,Other market risk exposures,0
13,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"57,656"
14,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"10,384"
15,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"19,112"
16,AIG Insurance Company of Canada,2019,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"84,246"
17,AIG Insurance Company of Canada,2019,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"42,143"
18,AIG Insurance Company of Canada,2019,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"270,806"
19,AIG Insurance Company of Canada,2019,Q1,Capital Available,Total Capital Available,Other,0
0,AIG Insurance Company of Canada,2018,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"687,732"
1,AIG Insurance Company of Canada,2018,Q4,Capital Available,Total Capital Available,Other,0
2,AIG Insurance Company of Canada,2018,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,AIG Insurance Company of Canada,2018,Q4,Capital Available,Total Capital Available,Other,0
4,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,"58,410"
5,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,"182,962"
6,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Insurance Risk,Catastrophes,0
7,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"18,861"
8,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Market Risk,Interest rate risk,"28,317"
9,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Market Risk,Equity risk,0
11,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Market Risk,Real estate risk,0
12,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Market Risk,Other market risk exposures,0
13,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"58,771"
14,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"10,080"
15,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"17,956"
16,AIG Insurance Company of Canada,2018,Q4,Capital Margin Required,Operational Risk,Operational risk margin,"84,463"
17,AIG Insurance Company of Canada,2018,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,"42,290"
18,AIG Insurance Company of Canada,2018,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"278,353"
19,AIG Insurance Company of Canada,2018,Q4,Capital Available,Total Capital Available,Other,0
0,AIG Insurance Company of Canada,2018,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"652,705"
1,AIG Insurance Company of Canada,2018,Q3,Capital Available,Total Capital Available,Other,0
2,AIG Insurance Company of Canada,2018,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,AIG Insurance Company of Canada,2018,Q3,Capital Available,Total Capital Available,Other,0
4,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"63,967"
5,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"188,687"
6,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"19,228"
8,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Market Risk,Interest rate risk,"28,579"
9,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Market Risk,Equity risk,0
11,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Market Risk,Real estate risk,0
12,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Market Risk,Other market risk exposures,0
13,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"57,476"
14,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"10,740"
15,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"18,230"
16,AIG Insurance Company of Canada,2018,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"84,933"
